       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     224.589247               60.0021104               30.3677781                   45.809
     224.789152               60.0021104                30.367778                   45.803
     224.989152               60.0021104               30.3677779                   45.809
     225.189152               60.0021104               30.3677779                   45.815
     225.389152               60.0021107               30.3677774                   45.894
     225.589152               60.0021113               30.3677769                   46.004
     225.789152               60.0021117               30.3677763                    46.23
     225.989152                60.002112               30.3677762                    46.51
     226.189152               60.0021123               30.3677757                   46.818
     226.389152               60.0021126                30.367775                   47.123
     226.589152                60.002113               30.3677748                   47.431
     226.789056               60.0021132               30.3677738                   47.727
     226.989056               60.0021135               30.3677731                   47.998
     227.189056               60.0021137               30.3677731                   48.242
     227.389056               60.0021138               30.3677725                   48.476
     227.589056                60.002114               30.3677724                   48.711
     227.789056               60.0021143               30.3677722                   48.912
     227.989056               60.0021144               30.3677718                   49.048
     228.189056               60.0021144               30.3677711                   49.168
     228.389056               60.0021144               30.3677707                     49.3
     228.589056               60.0021144                30.367771                   49.455
     228.788966               60.0021143               30.3677705                   49.651
     228.988966               60.0021142               30.3677705                   49.977
     229.188966               60.0021143               30.3677702                   50.375
     229.388966               60.0021144               30.3677702                   50.872
     229.588966               60.0021144               30.3677705                   51.466
     229.788966               60.0021144               30.3677707                   52.131
     229.988966               60.0021144               30.3677711                   52.857
     230.188966               60.0021142               30.3677712                   53.623
     230.388966               60.0021142               30.3677714                   54.364
     230.588966                60.002114               30.3677716                   55.043
     230.788865                60.002114               30.3677714                   55.651
     230.988865               60.0021138               30.3677721                   56.135
     231.188865               60.0021136               30.3677728                    56.58
     231.388865               60.0021132                30.367773                   56.887
     231.588865               60.0021132               30.3677733                   57.089
     231.788865               60.0021132               30.3677732                    57.15
     231.988865               60.0021133               30.3677737                   57.142
     232.188865               60.0021132               30.3677744                   57.052
     232.388865               60.0021131               30.3677739                   56.927
     232.588865               60.0021135               30.3677742                   56.802
     232.788770               60.0021137               30.3677742                     56.7
     232.988770               60.0021138               30.3677743                   56.578
     233.188770               60.0021145               30.3677742                   56.514
     233.388770                60.002115               30.3677735                   56.438
     233.588770               60.0021154               30.3677734                   56.368
     233.788770               60.0021158               30.3677734                    56.31
     233.988770               60.0021165               30.3677726                   56.246
     234.188770               60.0021167               30.3677716                   56.206
     234.388770               60.0021171                30.367771                   56.152
     234.588770               60.0021174               30.3677699                   56.143
     234.788675               60.0021176               30.3677695                   56.202
     234.988675               60.0021178               30.3677682                    56.32
     235.188675                60.002118               30.3677675                   56.451
     235.388675               60.0021182               30.3677665                   56.611
     235.588675               60.0021185               30.3677651                   56.801
     235.788675               60.0021187               30.3677641                   57.003
     235.988675               60.0021188               30.3677635                   57.193
     236.188675               60.0021189               30.3677629                   57.364
     236.388675               60.0021188               30.3677625                   57.534
     236.588675               60.0021188               30.3677621                   57.664
     236.788579               60.0021189                30.367762                   57.809
     236.988579               60.0021191                30.367762                   57.913
     237.188579               60.0021192               30.3677611                   57.983
     237.388579               60.0021193               30.3677609                   58.009
     237.588579               60.0021193                30.367761                    57.98
     237.788579               60.0021193               30.3677607                   57.944
     237.988579               60.0021194               30.3677607                   57.873
     238.188579               60.0021194               30.3677611                   57.829
     238.388579               60.0021196               30.3677612                   57.772
     238.588579               60.0021197               30.3677611                   57.743
     238.788484               60.0021198                30.367761                   57.702
     238.988484               60.0021199               30.3677605                   57.643
     239.188484               60.0021202               30.3677603                   57.625
     239.388484               60.0021204               30.3677596                   57.581
     239.588484               60.0021205               30.3677589                   57.549
     239.788484               60.0021206               30.3677587                   57.522
     239.988484               60.0021208                30.367758                   57.479
     240.188484                60.002121               30.3677572                   57.442
     240.388484               60.0021213               30.3677565                   57.429
     240.588484               60.0021215                30.367756                   57.435
     240.788389               60.0021219               30.3677558                   57.512
     240.988389               60.0021223               30.3677554                   57.596
     241.188389               60.0021228               30.3677557                   57.722
     241.388389               60.0021235               30.3677558                   57.909
     241.588389               60.0021242               30.3677556                    58.13
     241.788389               60.0021252               30.3677564                   58.413
     241.988389               60.0021265               30.3677572                   58.771
     242.188389               60.0021279               30.3677581                   59.211
     242.388389               60.0021297               30.3677589                   59.691
     242.588389               60.0021316               30.3677595                   60.199
     242.788294               60.0021336               30.3677598                   60.769
     242.988294               60.0021359               30.3677614                   61.376
     243.188294               60.0021378               30.3677619                    61.93
     243.388294               60.0021396               30.3677624                   62.456
     243.588294               60.0021414               30.3677627                   62.924
     243.788294               60.0021431               30.3677625                   63.347
     243.988294               60.0021442               30.3677625                   63.656
     244.188294               60.0021455               30.3677625                    63.93
     244.388294               60.0021467               30.3677622                   64.206
     244.588294               60.0021475               30.3677612                   64.401
     244.788199               60.0021478               30.3677604                   64.398
     244.988199               60.0021478               30.3677593                   64.314
     245.188199               60.0021478               30.3677578                   64.231
     245.388199               60.0021477               30.3677574                   64.131
     245.588199               60.0021477               30.3677569                   64.057
     245.788199               60.0021476               30.3677563                   63.931
     245.988199               60.0021477               30.3677565                   63.859
     246.188199               60.0021477               30.3677568                   63.782
     246.388199               60.0021479               30.3677568                   63.733
     246.588199               60.0021481               30.3677575                   63.707
     246.788104               60.0021482                30.367758                   63.673
     246.988104               60.0021482               30.3677584                    63.65
     247.188104               60.0021484               30.3677588                   63.639
     247.388104               60.0021485                30.367759                   63.615
     247.588104               60.0021488               30.3677593                   63.605
     247.788104                60.002149               30.3677594                    63.61
     247.988104               60.0021494               30.3677593                   63.619
     248.188104               60.0021497               30.3677593                   63.627
     248.388104                 60.00215                30.367759                   63.635
     248.588104               60.0021504               30.3677589                   63.649
     248.788009               60.0021508               30.3677585                    63.67
     248.988009               60.0021512                30.367758                   63.718
     249.188009               60.0021514               30.3677571                   63.743
