       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
    1628.299544               60.0021696               30.3679256                    45.52
    1628.499544               60.0021696               30.3679256                   45.522
    1628.699544               60.0021696               30.3679256                   45.529
    1628.899544               60.0021696               30.3679255                    45.52
    1629.099544               60.0021696               30.3679255                   45.515
    1629.299544               60.0021696               30.3679255                   45.522
    1629.499544               60.0021696               30.3679256                   45.515
    1629.699544               60.0021696               30.3679255                   45.502
    1629.899544               60.0021697               30.3679254                    45.53
    1630.099544               60.0021697               30.3679254                   45.526
    1630.299444               60.0021697               30.3679254                    45.52
    1630.499444               60.0021696               30.3679255                   45.514
    1630.699444               60.0021697               30.3679255                   45.532
    1630.899444               60.0021696               30.3679253                   45.523
    1631.099444               60.0021696               30.3679254                   45.529
    1631.299444               60.0021696               30.3679254                   45.526
    1631.499444               60.0021696               30.3679254                   45.529
    1631.699444               60.0021696               30.3679253                   45.548
    1631.899444               60.0021696               30.3679252                    45.56
    1632.099444               60.0021696               30.3679252                   45.562
    1632.299347               60.0021696               30.3679253                   45.557
    1632.499347               60.0021696               30.3679253                   45.564
    1632.699347               60.0021696               30.3679252                   45.571
    1632.899347               60.0021696               30.3679252                   45.577
    1633.099347               60.0021696               30.3679252                   45.578
    1633.299347               60.0021696               30.3679252                   45.579
    1633.499347               60.0021696               30.3679252                   45.579
    1633.699347               60.0021696               30.3679252                   45.563
    1633.899347               60.0021696               30.3679252                   45.567
    1634.099347               60.0021696               30.3679252                   45.581
    1634.299246               60.0021696               30.3679252                   45.583
    1634.499246               60.0021696               30.3679252                   45.562
    1634.699246               60.0021695               30.3679252                    45.55
    1634.899246               60.0021696               30.3679252                   45.559
    1635.099246               60.0021696               30.3679252                   45.563
    1635.299246               60.0021696               30.3679252                   45.556
    1635.499246               60.0021696               30.3679252                   45.545
    1635.699246               60.0021696               30.3679252                   45.553
    1635.899246               60.0021696               30.3679251                   45.556
    1636.099246               60.0021696               30.3679251                   45.555
    1636.299147               60.0021695               30.3679252                    45.55
    1636.499147               60.0021695               30.3679251                   45.533
    1636.699147               60.0021695               30.3679252                   45.549
    1636.899147               60.0021695               30.3679251                   45.541
    1637.099147               60.0021695                30.367925                    45.55
    1637.299147               60.0021695               30.3679251                   45.544
    1637.499147               60.0021696               30.3679251                   45.546
    1637.699147               60.0021695               30.3679251                   45.558
    1637.899147               60.0021695                30.367925                    45.55
    1638.099147               60.0021695                30.367925                   45.539
    1638.299047               60.0021695                30.367925                   45.552
    1638.499047               60.0021696                30.367925                   45.557
    1638.699047               60.0021695                30.367925                   45.554
    1638.899047               60.0021696                30.367925                   45.556
    1639.099047               60.0021696                30.367925                   45.563
    1639.299047               60.0021696               30.3679249                   45.571
    1639.499047               60.0021696                30.367925                   45.573
    1639.699047               60.0021696               30.3679249                   45.573
    1639.899047               60.0021696               30.3679249                   45.566
    1640.099047               60.0021696               30.3679249                   45.582
    1640.298948               60.0021696               30.3679248                   45.584
    1640.498948               60.0021696               30.3679248                   45.581
    1640.698948               60.0021696               30.3679249                   45.576
    1640.898948               60.0021696               30.3679249                   45.566
    1641.098948               60.0021696               30.3679249                   45.569
    1641.298948               60.0021696               30.3679248                   45.576
    1641.498948               60.0021696               30.3679248                   45.574
    1641.698948               60.0021696               30.3679249                   45.545
    1641.898948               60.0021696               30.3679249                   45.536
    1642.098948               60.0021696               30.3679248                   45.538
    1642.298849               60.0021696               30.3679248                   45.538
    1642.498849               60.0021696               30.3679249                   45.539
    1642.698849               60.0021696               30.3679249                   45.535
    1642.898849               60.0021695               30.3679249                   45.533
    1643.098849               60.0021696               30.3679248                   45.529
    1643.298849               60.0021696               30.3679248                   45.526
    1643.498849               60.0021696               30.3679249                   45.524
    1643.698849               60.0021696               30.3679248                   45.542
    1643.898849               60.0021696               30.3679248                   45.549
    1644.098849               60.0021695               30.3679248                   45.538
    1644.298754               60.0021695               30.3679248                   45.544
    1644.498754               60.0021695               30.3679248                   45.546
    1644.698754               60.0021696               30.3679248                    45.56
    1644.898754               60.0021695               30.3679248                   45.552
    1645.098754               60.0021695               30.3679248                   45.555
    1645.298754               60.0021696               30.3679248                   45.564
    1645.498754               60.0021696               30.3679247                   45.565
    1645.698754               60.0021695               30.3679248                   45.557
    1645.898754               60.0021696               30.3679248                   45.541
    1646.098754               60.0021696               30.3679248                   45.547
    1646.298650               60.0021696               30.3679248                   45.551
    1646.498650               60.0021696               30.3679247                   45.562
    1646.698650               60.0021696               30.3679247                   45.544
    1646.898650               60.0021695               30.3679248                   45.542
    1647.098650               60.0021696               30.3679248                    45.54
    1647.298650               60.0021695               30.3679247                    45.55
    1647.498650               60.0021697               30.3679248                   45.577
    1647.698650               60.0021696               30.3679249                   45.552
    1647.898650               60.0021696               30.3679249                   45.548
    1648.098650               60.0021695               30.3679249                   45.546
    1648.298551               60.0021695                30.367925                   45.538
    1648.498551               60.0021694                30.367925                    45.53
    1648.698551               60.0021695                30.367925                   45.529
    1648.898551               60.0021694               30.3679251                   45.535
    1649.098551               60.0021693               30.3679252                   45.529
    1649.298551               60.0021694               30.3679252                   45.541
    1649.498551               60.0021695               30.3679252                   45.597
    1649.698551               60.0021696               30.3679254                   45.654
    1649.898551               60.0021691               30.3679251                    45.75
    1650.098551                60.002169               30.3679249                   45.862
    1650.298452               60.0021691               30.3679247                   46.038
    1650.498452               60.0021691               30.3679247                   46.178
    1650.698452               60.0021693               30.3679246                   46.344
    1650.898452               60.0021694               30.3679247                    46.43
    1651.098452               60.0021696               30.3679249                    46.58
    1651.298452               60.0021693               30.3679252                    46.66
    1651.498452               60.0021695               30.3679252                   46.817
    1651.698452               60.0021697               30.3679252                   46.904
    1651.898452               60.0021697               30.3679254                   46.917
    1652.098452               60.0021697               30.3679252                   47.027
    1652.298353               60.0021696               30.3679251                   47.033
    1652.498353               60.0021696               30.3679249                   47.058
    1652.698353               60.0021694                30.367925                   47.049
    1652.898353               60.0021691               30.3679248                    47.14
