       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
    3175.624547               60.0022932               30.3681572                   45.062
    3175.824547               60.0022935                30.368157                   45.151
    3176.024547               60.0022937               30.3681567                   45.205
    3176.224451               60.0022938               30.3681568                   45.236
    3176.424451               60.0022939                30.368157                   45.242
    3176.624451               60.0022938                30.368157                   45.245
    3176.824451               60.0022939               30.3681571                   45.232
    3177.024451               60.0022939                30.368157                   45.216
    3177.224451               60.0022938               30.3681573                     45.2
    3177.424451               60.0022937               30.3681576                   45.196
    3177.624451               60.0022936               30.3681583                   45.197
    3177.824451               60.0022938                 30.36816                   45.253
    3178.024451               60.0022938               30.3681622                   45.299
    3178.224360                60.002294               30.3681662                   45.333
    3178.424360               60.0022948               30.3681713                   45.331
    3178.624360                60.002296               30.3681771                   45.351
    3178.824360               60.0022979               30.3681824                   45.386
    3179.024360               60.0023004               30.3681865                   45.396
    3179.224360               60.0023028               30.3681882                   45.395
    3179.424360                60.002304               30.3681887                   45.405
    3179.624360               60.0023039               30.3681887                   45.406
    3179.824360               60.0023034               30.3681891                   45.407
    3180.024360               60.0023026               30.3681887                    45.42
    3180.224258               60.0023017               30.3681878                   45.432
    3180.424258               60.0023007               30.3681866                   45.427
    3180.624258               60.0022997               30.3681851                   45.417
    3180.824258               60.0022991               30.3681839                   45.372
    3181.024258               60.0022983               30.3681823                   45.368
    3181.224258               60.0022976               30.3681801                   45.375
    3181.424258                60.002297               30.3681782                   45.383
    3181.624258               60.0022966               30.3681768                   45.367
    3181.824258               60.0022963               30.3681764                   45.326
    3182.024258               60.0022962               30.3681759                   45.275
    3182.224161               60.0022962               30.3681757                   45.243
    3182.424161               60.0022963               30.3681759                   45.208
    3182.624161               60.0022964               30.3681761                   45.188
    3182.824161               60.0022968               30.3681764                   45.199
    3183.024161               60.0022969               30.3681767                   45.202
    3183.224161               60.0022971               30.3681769                   45.192
    3183.424161               60.0022973                30.368177                   45.174
    3183.624161               60.0022974               30.3681771                   45.172
    3183.824161               60.0022976               30.3681773                   45.161
    3184.024161               60.0022977               30.3681775                   45.159
    3184.224065               60.0022978               30.3681778                   45.152
    3184.424065               60.0022983               30.3681791                   45.154
    3184.624065               60.0022985                30.368181                   45.145
    3184.824065               60.0022998               30.3681843                   45.117
    3185.024065               60.0023012               30.3681875                   45.102
    3185.224065                60.002303               30.3681902                   45.067
    3185.424065               60.0023045               30.3681921                   45.066
    3185.624065               60.0023065               30.3681926                   45.026
    3185.824065               60.0023071               30.3681934                   45.078
    3186.024065               60.0023067               30.3681929                   45.111
    3186.223977               60.0023057               30.3681923                   45.145
    3186.423977               60.0023048               30.3681917                   45.157
    3186.623977               60.0023041                30.368191                   45.169
    3186.823977               60.0023036               30.3681907                   45.126
    3187.023977               60.0023027               30.3681898                    45.08
    3187.223977               60.0023015               30.3681884                   45.037
    3187.423977               60.0023007               30.3681869                   45.022
    3187.623977                  60.0023               30.3681853                   45.018
    3187.823977               60.0022994               30.3681836                   44.945
    3188.023977               60.0022987               30.3681816                    44.93
    3188.223872               60.0022987               30.3681808                   44.911
    3188.423872               60.0022985               30.3681806                   44.908
    3188.623872               60.0022985               30.3681805                   44.911
    3188.823872               60.0022989               30.3681807                   44.945
    3189.023872               60.0022992               30.3681808                   44.953
