       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
    3169.746102               60.0022975                30.368149                   46.822
    3170.146102               60.0022975               30.3681489                   46.832
    3170.346013               60.0022975               30.3681489                   46.836
    3170.546013               60.0022975                30.368149                   46.832
    3170.746013               60.0022975               30.3681491                   46.835
    3170.946013               60.0022975               30.3681493                   46.822
    3171.146013               60.0022974               30.3681497                   46.821
    3171.346013               60.0022973               30.3681502                    46.82
    3171.546013               60.0022972               30.3681508                   46.823
    3171.746013               60.0022972               30.3681519                   46.833
    3171.946013               60.0022964               30.3681548                     46.8
    3172.146013               60.0022959               30.3681599                   46.619
    3172.345925               60.0022958               30.3681668                   46.433
    3172.545925               60.0022969               30.3681755                   46.313
    3172.745925               60.0022986                30.368184                   46.296
    3172.945925               60.0023023               30.3681923                   46.371
    3173.145925               60.0023061               30.3681972                   46.283
    3173.345925               60.0023098               30.3682002                   46.297
    3173.545925               60.0023113               30.3682006                    46.31
    3173.745925                60.002311               30.3682007                   46.328
    3173.945925               60.0023105               30.3681998                   46.334
    3174.145925                60.002309               30.3681989                   46.313
    3174.345837               60.0023071               30.3681975                   46.303
    3174.545837                60.002305                30.368195                     46.3
    3174.745837               60.0023035               30.3681927                    46.31
    3174.945837               60.0023018               30.3681897                   46.263
    3175.145837               60.0023005               30.3681866                   46.243
    3175.345837               60.0022993               30.3681832                   46.217
    3175.545837               60.0022984               30.3681802                   46.193
    3175.745837               60.0022978               30.3681779                   46.182
    3175.945837               60.0022977               30.3681763                   46.075
    3176.145837               60.0022978               30.3681751                   46.029
    3176.345748               60.0022975               30.3681747                   46.005
    3176.545748               60.0022975               30.3681749                   46.004
    3176.745748               60.0022977               30.3681752                   46.003
    3176.945748               60.0022981               30.3681755                   46.011
    3177.145748               60.0022981               30.3681756                   46.021
    3177.345748               60.0022982               30.3681758                   46.023
    3177.545748               60.0022981               30.3681758                   46.025
    3177.745748               60.0022982               30.3681759                   46.033
    3177.945748               60.0022987               30.3681757                    46.04
    3178.145748                60.002299               30.3681757                   46.044
    3178.345667                60.002299               30.3681761                   46.033
    3178.545667               60.0022995               30.3681781                   46.037
    3178.745667               60.0023003                30.368182                   46.053
    3178.945667               60.0023019               30.3681874                   46.011
    3179.145667               60.0023046               30.3681921                    45.96
    3179.345667               60.0023072               30.3681962                   45.921
    3179.545667               60.0023103               30.3681989                   45.922
    3179.745667               60.0023133               30.3682001                   45.918
    3179.945667               60.0023137               30.3682001                   45.894
    3180.145667               60.0023129               30.3681999                   45.879
    3180.345571               60.0023114               30.3681994                   45.907
    3180.545571               60.0023101               30.3681986                   45.895
    3180.745571               60.0023087               30.3681975                   45.886
    3180.945571               60.0023075               30.3681969                   45.853
    3181.145571               60.0023059                30.368195                   45.832
    3181.345571               60.0023044               30.3681924                   45.817
    3181.545571               60.0023029               30.3681899                   45.817
    3181.745571               60.0023016               30.3681866                   45.812
    3181.945571               60.0023006               30.3681833                   45.831
    3182.145571               60.0022999               30.3681809                   45.842
    3182.345483               60.0022997               30.3681795                   45.846
    3182.545483               60.0022996               30.3681788                   45.839
    3182.745483               60.0022995               30.3681789                   45.842
    3182.945483               60.0022996               30.3681789                   45.893
    3183.145483               60.0022996               30.3681788                   45.917
    3183.345483               60.0022995               30.3681787                   45.915
    3183.545483               60.0022995               30.3681787                   45.909
    3183.745483               60.0022995               30.3681788                   45.899
    3183.945483               60.0022998               30.3681788                   45.948
    3184.145483               60.0022999               30.3681789                   45.973
    3184.345394               60.0022999                30.368179                   46.001
    3184.545394               60.0022999                30.368179                   46.025
    3184.745394               60.0022999               30.3681792                   46.036
    3184.945394                  60.0023               30.3681789                    46.06
    3185.145394                  60.0023                30.368179                   46.073
    3185.345394                  60.0023                30.368179                   46.086
    3185.545394                  60.0023               30.3681788                   46.084
    3185.745394               60.0022999               30.3681787                   46.066
    3185.945394               60.0022998               30.3681784                   46.034
    3186.145394                  60.0023               30.3681785                   46.026
    3186.345306               60.0023001               30.3681792                   46.022
    3186.545306               60.0023001               30.3681798                    46.02
    3186.745306               60.0023002               30.3681798                   46.021
    3186.945306               60.0022977               30.3681803                   46.799
    3187.145306               60.0022978               30.3681805                   46.809
    3187.345306               60.0022977               30.3681805                   46.804
    3187.545306               60.0022978               30.3681805                   46.803
    3187.745306               60.0022977               30.3681805                     46.8
    3187.945306               60.0022977               30.3681805                   46.798
    3188.145306               60.0022978               30.3681807                   46.797
    3188.345217               60.0022979               30.3681813                    46.79
    3188.545217               60.0022981               30.3681816                   46.812
