       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
    3180.641466               60.0022989               30.3681525                   47.707
    3180.841466               60.0022989               30.3681522                   47.703
    3181.041466               60.0022992               30.3681528                   47.522
    3181.241372               60.0022996               30.3681533                   47.407
    3181.441372               60.0022996               30.3681533                   47.344
    3181.641372               60.0022998               30.3681531                   47.307
    3181.841372               60.0022998               30.3681532                   47.292
    3182.041372               60.0023001                30.368154                   47.185
    3182.241372               60.0023003               30.3681547                   47.114
    3182.441372               60.0023005               30.3681551                   47.085
    3182.641372               60.0023007               30.3681554                    47.07
    3182.841372               60.0023008               30.3681564                    47.08
    3183.041372               60.0023007               30.3681565                   47.072
    3183.241275                60.002301                30.368158                   47.082
    3183.441275               60.0023014               30.3681604                   47.062
    3183.641275               60.0023019               30.3681626                   47.057
    3183.841275               60.0023028               30.3681637                   47.033
    3184.041275               60.0023038                30.368165                   47.008
    3184.241275               60.0023045               30.3681667                    46.97
    3184.441275               60.0023048                30.368167                   46.902
    3184.641275               60.0023043                30.368167                   46.891
    3184.841275               60.0023041               30.3681669                   46.903
    3185.041275               60.0023035               30.3681678                   47.008
    3185.241180               60.0023028               30.3681679                   47.023
    3185.441180               60.0023023               30.3681675                   47.036
    3185.641180               60.0023019                30.368167                    47.06
    3185.841180               60.0023014               30.3681664                   47.052
    3186.041180               60.0023011               30.3681653                   47.068
    3186.241180               60.0023009               30.3681645                   47.068
    3186.441180               60.0023007               30.3681637                   47.083
    3186.641180               60.0023005               30.3681632                   47.101
    3186.841180               60.0023004               30.3681628                   47.116
    3187.041180               60.0023002               30.3681625                   47.117
    3187.241093               60.0023002               30.3681626                   47.115
    3187.441093               60.0023002               30.3681625                   47.101
    3187.641093               60.0023002               30.3681626                   47.111
    3187.841093               60.0023003               30.3681627                   47.107
    3188.041093               60.0023002               30.3681627                    47.08
    3188.241093               60.0023003               30.3681629                   47.065
    3188.441093               60.0023003               30.3681627                   47.054
    3188.641093               60.0023003               30.3681629                   47.053
    3188.841093               60.0023003               30.3681629                   47.058
    3189.041093               60.0023003               30.3681629                   47.059
    3189.240990               60.0023004                30.368163                   47.054
    3189.440990               60.0023005               30.3681635                    47.04
    3189.640990               60.0023008               30.3681644                   47.011
    3189.840990               60.0023011               30.3681653                   46.991
    3190.040990               60.0023017               30.3681658                   46.965
    3190.240990               60.0023023                30.368167                   46.914
    3190.440990               60.0023029               30.3681675                    46.88
    3190.640990               60.0023037               30.3681678                   46.819
    3190.840990               60.0023035               30.3681676                   46.783
    3191.040990                60.002303               30.3681683                   46.864
    3191.240892               60.0023027               30.3681683                   46.896
    3191.440892               60.0023022               30.3681681                   46.914
    3191.640892                60.002302               30.3681678                   46.926
    3191.840892               60.0023016               30.3681676                   46.942
    3192.040892               60.0023009                30.368168                   46.874
