       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     956.082928               60.0020869               30.3698265                   45.415
     956.282928                60.002087               30.3698267                   45.415
     956.482928               60.0020869               30.3698266                   45.425
     956.682834               60.0020869               30.3698266                   45.451
     956.882834               60.0020866               30.3698267                   45.478
     957.082834               60.0020866               30.3698268                   45.507
     957.282834               60.0020865               30.3698268                   45.503
     957.482834               60.0020864               30.3698268                   45.516
     957.682834               60.0020864               30.3698268                   45.516
     957.882834               60.0020859               30.3698271                   45.569
     958.082834               60.0020857               30.3698272                   45.606
     958.282834               60.0020857               30.3698273                    45.64
     958.482834               60.0020856               30.3698273                   45.618
     958.682740               60.0020857               30.3698274                   45.612
     958.882740               60.0020851               30.3698273                   45.723
     959.082740               60.0020846               30.3698273                   45.774
     959.282740               60.0020845               30.3698272                   45.797
     959.482740               60.0020844               30.3698272                   45.817
     959.682740               60.0020844                30.369827                   45.821
     959.882740               60.0020835                30.369827                    45.93
     960.082740               60.0020831               30.3698269                   46.002
     960.282740               60.0020831               30.3698266                   46.039
     960.482740                60.002083               30.3698266                   46.055
     960.682649                60.002083               30.3698266                   46.061
     960.882649               60.0020821               30.3698264                   46.187
     961.082649               60.0020817               30.3698262                   46.269
     961.282649               60.0020815                30.369826                     46.3
     961.482649               60.0020816               30.3698258                   46.322
     961.682649               60.0020817               30.3698257                   46.343
     961.882649               60.0020806               30.3698259                   46.452
     962.082649                 60.00208               30.3698258                    46.53
     962.282649               60.0020798               30.3698259                   46.555
     962.482649               60.0020797               30.3698257                   46.561
     962.682551               60.0020797               30.3698257                   46.572
     962.882551                60.002079               30.3698258                   46.662
     963.082551               60.0020786               30.3698259                   46.708
     963.282551               60.0020784               30.3698259                   46.757
     963.482551               60.0020782                30.369826                   46.729
     963.682551               60.0020783               30.3698259                   46.714
     963.882551               60.0020782               30.3698256                   46.765
     964.082551               60.0020781               30.3698254                   46.798
     964.282551                60.002078               30.3698253                   46.801
     964.482551                60.002078               30.3698253                   46.806
     964.682457               60.0020781               30.3698254                   46.799
     964.882457               60.0020779               30.3698251                   46.857
     965.082457               60.0020779               30.3698249                   46.918
     965.282457               60.0020778               30.3698245                   46.949
     965.482457               60.0020778               30.3698244                   46.967
     965.682457               60.0020779               30.3698245                   46.971
     965.882457                60.002078               30.3698242                   46.985
     966.082457                60.002078               30.3698241                   47.025
     966.282457                60.002078               30.3698241                   47.039
     966.482457               60.0020779               30.3698242                   47.054
     966.682363                60.002078               30.3698242                   47.031
     966.882363               60.0020779               30.3698236                   47.061
     967.082363               60.0020777               30.3698232                   47.092
     967.282363               60.0020777               30.3698232                   47.107
     967.482363               60.0020776               30.3698229                   47.127
     967.682363               60.0020774               30.3698229                   47.129
     967.882363               60.0020774               30.3698225                   47.176
     968.082363               60.0020774               30.3698224                   47.204
     968.282363               60.0020774               30.3698223                   47.225
     968.482363               60.0020772               30.3698223                   47.245
     968.682268               60.0020771               30.3698223                   47.256
     968.882268               60.0020772               30.3698222                   47.297
     969.082268               60.0020772                30.369822                   47.334
     969.282268               60.0020772               30.3698219                   47.353
     969.482268               60.0020773               30.3698219                   47.353
     969.682268               60.0020773                30.369822                   47.345
     969.882268                60.002077               30.3698215                   47.362
     970.082268               60.0020769               30.3698215                     47.4
     970.282268                60.002077               30.3698218                   47.402
     970.482268               60.0020768               30.3698215                   47.392
     970.682177                60.002077               30.3698214                   47.401
     970.882177               60.0020764               30.3698204                   47.437
     971.082177               60.0020762               30.3698197                   47.474
     971.282177               60.0020762               30.3698194                   47.489
     971.482177               60.0020761               30.3698194                   47.505
     971.682177               60.0020761               30.3698192                   47.504
     971.882177               60.0020756               30.3698186                   47.548
     972.082177               60.0020755               30.3698183                   47.573
     972.282177               60.0020755               30.3698182                   47.592
     972.482177               60.0020754               30.3698183                   47.606
     972.682091               60.0020755               30.3698184                   47.612
     972.882091               60.0020752               30.3698178                   47.613
     973.082091                60.002075               30.3698175                   47.615
     973.282091               60.0020749               30.3698175                   47.605
     973.482091               60.0020749               30.3698177                    47.61
     973.682091               60.0020749               30.3698176                   47.616
     973.882091               60.0020745               30.3698156                   47.663
     974.082091               60.0020741               30.3698148                   47.673
     974.282091               60.0020741               30.3698148                   47.691
     974.482091               60.0020742                30.369815                   47.714
     974.681993               60.0020742                30.369815                   47.703
     974.881993               60.0020745               30.3698146                   47.678
     975.081993               60.0020746               30.3698145                   47.683
     975.281993               60.0020746               30.3698146                   47.686
     975.481993               60.0020744               30.3698146                   47.691
     975.681993               60.0020743               30.3698144                   47.701
     975.881993               60.0020745               30.3698149                   47.681
     976.081993               60.0020746               30.3698149                   47.677
     976.281993               60.0020745               30.3698148                   47.668
     976.481993               60.0020744               30.3698152                   47.643
     976.681898               60.0020743               30.3698152                   47.652
     976.881898               60.0020738               30.3698154                    47.66
     977.081898               60.0020737               30.3698152                   47.665
     977.281898               60.0020737               30.3698152                   47.679
     977.481898               60.0020737               30.3698152                   47.681
     977.681898               60.0020736               30.3698151                   47.672
     977.881898               60.0020733                30.369815                   47.691
     978.081898               60.0020731               30.3698149                   47.697
     978.281898               60.0020731               30.3698151                   47.699
     978.481898               60.0020731               30.3698152                   47.693
     978.681797               60.0020731               30.3698151                    47.68
     978.881797                60.002073               30.3698149                   47.686
     979.081797               60.0020729               30.3698148                   47.686
     979.281797               60.0020729               30.3698147                   47.671
     979.481797               60.0020729               30.3698147                   47.676
     979.681797                60.002073               30.3698146                   47.687
     979.881797                60.002073               30.3698144                   47.693
     980.081797                60.002073               30.3698143                   47.689
     980.281797               60.0020729               30.3698144                   47.683
     980.481797               60.0020728               30.3698145                   47.677
     980.681702               60.0020728               30.3698145                   47.683
     980.881702               60.0020726               30.3698146                   47.687
     981.081702               60.0020726               30.3698145                   47.684
     981.281702               60.0020727               30.3698145                   47.699
     981.481702               60.0020726               30.3698144                   47.719
     981.681702               60.0020727               30.3698143                    47.74
     981.881702               60.0020724               30.3698144                   47.727
     982.081702               60.0020723               30.3698144                   47.728
     982.281702               60.0020723               30.3698144                   47.734
     982.481702               60.0020724               30.3698144                   47.727
     982.681608               60.0020723               30.3698144                   47.726
     982.881608               60.0020722               30.3698143                   47.718
