       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
    2492.274783               60.0020806               30.3698168                   46.546
    2492.474783               60.0020806               30.3698168                   46.552
    2492.674783               60.0020806               30.3698169                   46.546
    2492.874783               60.0020804               30.3698167                   46.513
    2493.074783               60.0020805               30.3698166                   46.493
    2493.274688               60.0020805               30.3698165                   46.484
    2493.474688               60.0020806               30.3698165                   46.488
    2493.674688               60.0020806               30.3698164                   46.493
    2493.874688               60.0020805                30.369816                   46.555
    2494.074688               60.0020805               30.3698158                    46.58
    2494.274688               60.0020805               30.3698159                   46.594
    2494.474688               60.0020805               30.3698158                   46.586
    2494.674688               60.0020805               30.3698158                   46.592
    2494.874688               60.0020804               30.3698153                   46.618
    2495.074688               60.0020803               30.3698153                   46.633
    2495.274593               60.0020803               30.3698153                   46.636
    2495.474593               60.0020803               30.3698153                   46.633
    2495.674593               60.0020803               30.3698153                   46.633
    2495.874593               60.0020802               30.3698154                   46.677
    2496.074593               60.0020802               30.3698154                   46.693
    2496.274593               60.0020802               30.3698153                   46.692
    2496.474593               60.0020801               30.3698154                   46.693
    2496.674593               60.0020802               30.3698154                   46.686
    2496.874593               60.0020802               30.3698154                   46.723
    2497.074593               60.0020802               30.3698154                   46.741
    2497.274498               60.0020802               30.3698154                   46.741
    2497.474498               60.0020802               30.3698154                   46.746
    2497.674498               60.0020802               30.3698154                   46.746
    2497.874498               60.0020802               30.3698152                   46.773
    2498.074498               60.0020802               30.3698152                   46.788
    2498.274498               60.0020801               30.3698152                   46.794
    2498.474498               60.0020801               30.3698153                   46.793
    2498.674498               60.0020801               30.3698152                   46.792
    2498.874498                 60.00208               30.3698154                   46.814
    2499.074498                 60.00208               30.3698155                   46.821
    2499.274403                 60.00208               30.3698155                   46.814
    2499.474403                 60.00208               30.3698156                    46.81
    2499.674403                 60.00208               30.3698155                   46.802
    2499.874403               60.0020801               30.3698155                   46.826
    2500.074403               60.0020801               30.3698156                   46.841
    2500.274403               60.0020801               30.3698156                   46.847
    2500.474403                 60.00208               30.3698156                   46.854
    2500.674403               60.0020801               30.3698155                    46.86
    2500.874403               60.0020801               30.3698153                   46.896
    2501.074403               60.0020801               30.3698154                   46.913
    2501.274308                 60.00208               30.3698154                   46.915
    2501.474308                 60.00208               30.3698154                   46.914
    2501.674308                 60.00208               30.3698154                   46.912
    2501.874308               60.0020801               30.3698153                   46.941
    2502.074308               60.0020801               30.3698152                   46.956
    2502.274308               60.0020801               30.3698153                   46.962
    2502.474308               60.0020801               30.3698152                   46.957
    2502.674308               60.0020801               30.3698153                    46.96
    2502.874308               60.0020802                30.369815                   46.994
    2503.074308               60.0020802                30.369815                   46.996
    2503.274212               60.0020801               30.3698151                   46.999
    2503.474212               60.0020801                30.369815                   47.003
    2503.674212               60.0020801                30.369815                   47.003
    2503.874212               60.0020801               30.3698153                   47.029
    2504.074212                 60.00208               30.3698153                   47.036
    2504.274212                 60.00208               30.3698153                   47.039
    2504.474212                 60.00208               30.3698152                   47.035
    2504.674212                 60.00208               30.3698152                   47.038
    2504.874212                 60.00208               30.3698153                   47.064
    2505.074212                 60.00208               30.3698153                   47.073
    2505.274117                 60.00208               30.3698154                   47.073
    2505.474117                 60.00208               30.3698154                    47.07
    2505.674117               60.0020799               30.3698154                   47.068
    2505.874117               60.0020798               30.3698155                   47.071
    2506.074117               60.0020798               30.3698154                   47.079
    2506.274117               60.0020798               30.3698154                   47.086
    2506.474117               60.0020798               30.3698153                   47.091
    2506.674117               60.0020799               30.3698153                   47.102
    2506.874117               60.0020798               30.3698152                    47.13
    2507.074117               60.0020799               30.3698151                   47.146
    2507.274035               60.0020799               30.3698151                   47.148
    2507.474035               60.0020798               30.3698151                   47.146
    2507.674035               60.0020798               30.3698152                   47.147
    2507.874035               60.0020797                30.369815                   47.159
    2508.074035               60.0020797               30.3698149                   47.169
    2508.274035               60.0020798                30.369815                   47.173
    2508.474035               60.0020798               30.3698149                   47.176
    2508.674035               60.0020798               30.3698149                   47.175
    2508.874035               60.0020796               30.3698149                   47.187
    2509.074035               60.0020796               30.3698149                   47.195
    2509.273927               60.0020796               30.3698149                   47.196
    2509.473927               60.0020796               30.3698149                   47.187
    2509.673927               60.0020796               30.3698149                   47.191
    2509.873927               60.0020795               30.3698149                   47.213
    2510.073927               60.0020795               30.3698149                   47.222
    2510.273927               60.0020795               30.3698148                   47.225
    2510.473927               60.0020795               30.3698149                   47.222
    2510.673927               60.0020794               30.3698149                   47.223
    2510.873927               60.0020794               30.3698148                   47.219
    2511.073927               60.0020794               30.3698148                   47.223
    2511.273832               60.0020794               30.3698149                   47.225
    2511.473832               60.0020795               30.3698148                   47.225
    2511.673832               60.0020795               30.3698148                   47.236
    2511.873832               60.0020794               30.3698147                   47.248
    2512.073832               60.0020794               30.3698148                   47.257
    2512.273832               60.0020794               30.3698147                   47.263
    2512.473832               60.0020794               30.3698147                   47.266
    2512.673832               60.0020794               30.3698147                   47.268
    2512.873832               60.0020793               30.3698149                   47.271
    2513.073832               60.0020793                30.369815                   47.269
    2513.273738               60.0020794                30.369815                   47.265
    2513.473738               60.0020794                30.369815                   47.266
    2513.673738               60.0020794               30.3698151                   47.262
    2513.873738               60.0020792                30.369815                   47.276
    2514.073738               60.0020792                30.369815                   47.289
    2514.273738               60.0020792                30.369815                   47.292
    2514.473738               60.0020792               30.3698149                   47.285
    2514.673738               60.0020792                30.369815                   47.284
    2514.873738               60.0020792                30.369815                   47.298
    2515.073738               60.0020792                30.369815                   47.326
    2515.273641               60.0020792                30.369815                   47.323
    2515.473641               60.0020792                30.369815                   47.323
    2515.673641               60.0020791               30.3698151                   47.318
    2515.873641               60.0020792               30.3698151                   47.331
    2516.073641               60.0020792               30.3698151                   47.334
    2516.273641               60.0020792               30.3698151                   47.332
    2516.473641               60.0020792               30.3698151                   47.337
    2516.673641               60.0020792               30.3698151                   47.342
    2516.873641               60.0020792               30.3698152                   47.345
    2517.073641               60.0020792               30.3698153                   47.347
    2517.273549               60.0020792               30.3698153                   47.348
    2517.473549               60.0020792               30.3698153                    47.34
    2517.673549               60.0020792               30.3698153                   47.352
    2517.873549               60.0020792               30.3698154                   47.349
    2518.073549               60.0020791               30.3698154                   47.355
    2518.273549               60.0020791               30.3698155                   47.355
    2518.473549               60.0020792               30.3698154                   47.359
    2518.673549               60.0020791               30.3698154                   47.363
    2518.873549               60.0020792               30.3698155                   47.375
    2519.073549               60.0020792               30.3698155                   47.381
    2519.273450               60.0020792               30.3698155                   47.378
    2519.473450               60.0020792               30.3698156                   47.377
    2519.673450               60.0020792               30.3698155                   47.368
    2519.873450               60.0020785               30.3698301                   47.585
    2520.073450               60.0020785               30.3698301                   47.581
    2520.273450               60.0020786               30.3698301                   47.586
    2520.473450               60.0020785               30.3698301                   47.585
    2520.673450               60.0020786               30.3698302                   47.572
    2520.873450               60.0020793               30.3698224                    47.53
    2521.073450               60.0020793               30.3698183                   47.455
    2521.273355               60.0020793               30.3698169                   47.413
    2521.473355               60.0020792               30.3698165                   47.394
    2521.673355               60.0020792               30.3698163                   47.399
    2521.873355               60.0020792               30.3698165                    47.41
    2522.073355               60.0020792               30.3698166                   47.418
    2522.273355               60.0020791               30.3698166                    47.42
    2522.473355               60.0020791               30.3698166                   47.416
