       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
      92.081434               60.0028642               30.3639169                    62.04
      92.281434               60.0028642               30.3639169                   62.035
      92.481434               60.0028642               30.3639169                   62.035
      92.681434               60.0028642               30.3639168                   62.035
      92.881434               60.0028641               30.3639169                   62.039
      93.081434                60.002864               30.3639169                   62.033
      93.281434                60.002864               30.3639169                   62.028
      93.481352                60.002864               30.3639169                   62.033
      93.681352               60.0028641               30.3639169                   62.034
      93.881352               60.0028639               30.3639166                   62.013
      94.081352               60.0028639               30.3639167                   62.007
      94.281352               60.0028639               30.3639167                   62.004
      94.481352               60.0028639               30.3639167                   62.015
      94.681352               60.0028639               30.3639167                   62.011
      94.881352               60.0028637               30.3639162                   61.997
      95.081352               60.0028637               30.3639162                   62.001
      95.281352               60.0028637               30.3639162                   62.001
      95.481270               60.0028637               30.3639162                   62.009
      95.681270               60.0028637               30.3639162                   62.006
      95.881270               60.0028637               30.3639159                   61.978
      96.081270               60.0028637               30.3639159                   61.969
      96.281270               60.0028637               30.3639159                   61.974
      96.481270               60.0028637               30.3639159                   61.975
      96.681270               60.0028637               30.3639159                   61.973
      96.881270               60.0028637               30.3639161                   61.973
      97.081270               60.0028638               30.3639161                   61.959
      97.281270               60.0028638               30.3639161                   61.966
      97.481187               60.0028637               30.3639162                   61.968
      97.681187               60.0028638               30.3639162                   61.977
      97.881187               60.0028639                30.363917                   61.994
      98.081187               60.0028639               30.3639169                   62.003
      98.281187               60.0028639                30.363917                   62.016
      98.481187               60.0028639               30.3639171                   62.016
      98.681187               60.0028639                30.363917                   61.993
      98.881187                60.002864               30.3639174                   62.029
      99.081187               60.0028639               30.3639173                   62.045
      99.281187               60.0028639               30.3639173                   62.039
      99.481105               60.0028639               30.3639173                   62.033
      99.681105               60.0028639               30.3639173                   62.032
      99.881105                60.002864               30.3639172                   62.034
     100.081105                60.002864               30.3639171                   62.033
     100.281105                60.002864               30.3639171                   62.026
     100.481105                60.002864               30.3639171                   62.031
     100.681105                60.002864               30.3639171                   62.034
     100.881105                60.002864               30.3639171                   62.009
     101.081105               60.0028641               30.3639171                   62.011
     101.281105                60.002864               30.3639171                   62.007
     101.481023                60.002864               30.3639172                   62.005
     101.681023                60.002864               30.3639172                   61.998
     101.881023               60.0028641                30.363917                   61.992
     102.081023               60.0028641               30.3639171                   61.982
     102.281023               60.0028642                30.363917                    61.98
     102.481023               60.0028642               30.3639171                   61.984
     102.681023               60.0028641               30.3639171                   61.981
     102.881023               60.0028641               30.3639168                    61.98
     103.081023               60.0028641               30.3639168                   61.985
     103.281023               60.0028641               30.3639168                   61.978
     103.480941               60.0028641               30.3639168                   61.979
     103.680941               60.0028641               30.3639168                   61.976
     103.880941               60.0028642                30.363917                   61.972
     104.080941               60.0028642                30.363917                   61.972
     104.280941               60.0028642                30.363917                   61.969
     104.480941               60.0028642                30.363917                   61.977
     104.680941               60.0028642                30.363917                   61.976
     104.880941               60.0028642               30.3639173                    61.98
     105.080941               60.0028642               30.3639174                   61.973
     105.280941               60.0028642               30.3639174                   61.975
     105.480858               60.0028642               30.3639173                   61.978
     105.680858               60.0028642               30.3639174                   61.975
     105.880858               60.0028642               30.3639176                   61.948
     106.080858               60.0028642               30.3639176                   61.939
     106.280858               60.0028642               30.3639176                   61.939
     106.480858               60.0028642               30.3639175                   61.948
     106.680858               60.0028642               30.3639175                   61.949
     106.880858               60.0028641               30.3639176                   61.933
     107.080858               60.0028641               30.3639176                    61.93
     107.280858               60.0028641               30.3639176                   61.932
     107.480776               60.0028641               30.3639176                   61.935
     107.680776               60.0028641               30.3639176                   61.942
     107.880776                60.002864               30.3639182                   61.935
     108.080776                60.002864               30.3639183                   61.926
     108.280776                60.002864               30.3639182                    61.93
     108.480776                60.002864               30.3639182                   61.935
     108.680776                60.002864               30.3639182                   61.934
     108.880776               60.0028639               30.3639185                   61.931
     109.080776               60.0028639               30.3639185                   61.931
     109.280776               60.0028639               30.3639185                   61.922
     109.480694               60.0028639               30.3639185                   61.926
     109.680694               60.0028639               30.3639185                   61.931
     109.880694               60.0028637               30.3639187                   61.947
     110.080694               60.0028637               30.3639187                   61.936
     110.280694               60.0028637               30.3639187                   61.948
     110.480694               60.0028637               30.3639187                   61.944
     110.680694               60.0028637               30.3639187                   61.942
     110.880694               60.0028638               30.3639188                   61.929
     111.080694               60.0028638               30.3639188                   61.928
     111.280694               60.0028638               30.3639188                   61.928
     111.480612               60.0028638               30.3639188                   61.934
     111.680612               60.0028638               30.3639187                   61.929
     111.880612               60.0028639               30.3639186                   61.916
     112.080612               60.0028639               30.3639185                   61.927
     112.280612               60.0028641               30.3639184                   62.026
     112.480612               60.0028642               30.3639183                   62.157
     112.680612               60.0028641               30.3639178                    62.33
     112.880612               60.0028638               30.3639179                   62.457
     113.080612               60.0028637               30.3639181                   62.604
     113.280612               60.0028635               30.3639183                   62.745
     113.480533               60.0028636               30.3639182                   62.898
     113.680533               60.0028636               30.3639183                   63.056
     113.880533               60.0028635               30.3639185                   63.179
     114.080533               60.0028635               30.3639187                   63.288
     114.280533               60.0028635               30.3639187                   63.375
     114.480533               60.0028635               30.3639189                   63.477
     114.680533               60.0028636               30.3639191                   63.531
     114.880533               60.0028635               30.3639192                   63.564
     115.080533               60.0028635               30.3639193                   63.549
     115.280533               60.0028635               30.3639191                   63.551
     115.680447               60.0028636               30.3639187                   63.568
     115.880447               60.0028635               30.3639191                   63.637
     116.080447               60.0028634               30.3639193                   63.679
     116.280447               60.0028632               30.3639194                   63.699
     116.480447               60.0028631               30.3639196                   63.716
     116.680447                60.002863               30.3639198                   63.721
     116.880447               60.0028628               30.3639201                    63.74
     117.080447               60.0028628               30.3639201                   63.756
     117.280447               60.0028628               30.3639201                    63.75
     117.480365               60.0028629               30.3639198                   63.747
     117.680365               60.0028631               30.3639197                   63.736
     117.880365               60.0028631               30.3639195                   63.734
     118.080365                60.002863               30.3639201                   63.745
     118.280365               60.0028628               30.3639206                    63.77
     118.480365               60.0028626               30.3639212                   63.801
     118.680365               60.0028623               30.3639219                   63.811
     118.880365               60.0028617               30.3639223                   63.816
     119.080365               60.0028612               30.3639228                   63.811
     119.280365               60.0028607               30.3639229                   63.801
     119.480282               60.0028599               30.3639234                   63.788
     119.680282               60.0028593                30.363924                    63.77
     119.880282               60.0028588               30.3639247                   63.728
     120.080282               60.0028583               30.3639263                   63.717
     120.280282                60.002858               30.3639282                   63.718
     120.480282               60.0028579               30.3639306                   63.716
     120.680282               60.0028578               30.3639327                   63.717
     120.880282               60.0028581               30.3639352                    63.75
     121.080282               60.0028581               30.3639371                   63.764
     121.280282                60.002858               30.3639389                   63.733
     121.480200               60.0028577               30.3639405                   63.745
     121.680200               60.0028577               30.3639421                   63.744
     121.880200                60.002858               30.3639437                   63.728
     122.080200               60.0028582               30.3639448                   63.722
     122.280200               60.0028586               30.3639457                   63.723
     122.480200                60.002859               30.3639464                   63.714
     122.680200               60.0028596               30.3639474                   63.709
     122.880200               60.0028602               30.3639484                     63.7
     123.080200               60.0028611               30.3639492                   63.732
     123.280200                60.002862               30.3639499                   63.736
     123.480118               60.0028628               30.3639504                   63.729
     123.680118               60.0028637               30.3639514                    63.73
     123.880118               60.0028646               30.3639526                   63.716
