       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     275.907907               60.0028479                30.363783                   62.467
     276.107907               60.0028479                30.363783                   62.495
     276.307814               60.0028478                30.363783                   62.504
     276.507814               60.0028478                30.363783                   62.507
     276.707814               60.0028478                30.363783                   62.496
     276.907814               60.0028478               30.3637829                   62.497
     277.107814               60.0028477               30.3637831                   62.486
     277.307814               60.0028478               30.3637831                   62.471
     277.507814               60.0028479               30.3637833                   62.426
     277.707814                60.002848               30.3637834                   62.421
     277.907814               60.0028484               30.3637836                    62.44
     278.107814               60.0028488               30.3637828                   62.485
     278.307720               60.0028496               30.3637815                    62.53
     278.507720               60.0028507                 30.36378                   62.527
     278.707720               60.0028519               30.3637787                   62.504
     278.907720               60.0028533               30.3637763                   62.574
     279.107720               60.0028552                30.363774                    62.61
     279.307720               60.0028569               30.3637716                   62.649
     279.507720               60.0028588               30.3637691                   62.642
     279.707720               60.0028607               30.3637667                   62.622
     279.907720               60.0028626               30.3637648                   62.644
     280.107720               60.0028645               30.3637624                   62.642
     280.307626               60.0028666               30.3637599                   62.647
     280.507626               60.0028688               30.3637578                   62.659
     280.707626               60.0028711               30.3637552                   62.633
     280.907626               60.0028732               30.3637526                   62.651
     281.107626               60.0028756               30.3637502                   62.647
     281.307626                60.002878               30.3637478                   62.657
     281.507626               60.0028802               30.3637451                   62.676
     281.707626               60.0028824               30.3637421                   62.658
     281.907626               60.0028846               30.3637395                   62.668
     282.107626               60.0028868               30.3637369                   62.648
     282.307533                60.002889               30.3637344                   62.664
     282.507533               60.0028911               30.3637315                   62.677
     282.707533               60.0028933               30.3637287                   62.663
     282.907533               60.0028954               30.3637261                   62.657
     283.107533               60.0028976               30.3637237                    62.65
     283.307533               60.0028998               30.3637212                   62.665
     283.507533                60.002902               30.3637185                     62.7
     283.707533               60.0029044               30.3637157                   62.671
     283.907533               60.0029066               30.3637132                    62.69
     284.107533                60.002909               30.3637106                   62.677
     284.307439               60.0029114               30.3637079                   62.694
     284.507439               60.0029136               30.3637054                   62.706
     284.707439               60.0029159               30.3637023                   62.649
     284.907439               60.0029179               30.3636993                   62.675
     285.107439               60.0029202               30.3636964                   62.679
     285.307439               60.0029225               30.3636938                    62.67
     285.507439               60.0029246               30.3636911                   62.697
     285.707439                60.002927               30.3636883                   62.651
     285.907439               60.0029289               30.3636856                   62.656
     286.107439               60.0029312               30.3636829                   62.678
     286.307346               60.0029332               30.3636804                   62.704
     286.507346               60.0029355               30.3636778                   62.736
     286.707346               60.0029377                30.363675                    62.73
     286.907346               60.0029398               30.3636719                   62.737
     287.107346                60.002942               30.3636695                   62.769
     287.307346               60.0029441               30.3636668                    62.75
     287.507346               60.0029466                30.363664                   62.761
     287.707346               60.0029487               30.3636608                   62.755
     287.907346               60.0029507               30.3636577                   62.764
     288.107346               60.0029529               30.3636554                   62.725
     288.307252               60.0029552               30.3636527                    62.68
     288.507252               60.0029574               30.3636498                   62.709
     288.707252               60.0029597               30.3636467                   62.702
     288.907252               60.0029618               30.3636437                   62.698
     289.107252               60.0029639               30.3636408                   62.719
     289.307252               60.0029661               30.3636378                   62.702
     289.507252               60.0029687                30.363635                     62.7
     289.707252               60.0029708               30.3636319                   62.718
     289.907252               60.0029729               30.3636289                   62.699
     290.107252               60.0029753               30.3636262                   62.698
     290.307158               60.0029776               30.3636235                   62.698
     290.507158               60.0029799               30.3636211                   62.713
     290.707158               60.0029821               30.3636183                   62.702
     290.907158               60.0029843               30.3636154                   62.667
     291.107158               60.0029862               30.3636129                   62.678
     291.307158               60.0029885               30.3636103                   62.664
     291.507158               60.0029908               30.3636079                   62.654
     291.707158               60.0029933               30.3636054                   62.644
     291.907158               60.0029955               30.3636026                   62.629
     292.107158               60.0029977               30.3636001                   62.636
     292.307065                   60.003               30.3635977                   62.618
     292.507065               60.0030021               30.3635953                   62.608
     292.707065               60.0030041               30.3635928                   62.594
     292.907065                60.003006               30.3635901                   62.562
     293.107065               60.0030079               30.3635876                   62.538
     293.307065               60.0030099                30.363585                     62.5
     293.507065               60.0030119               30.3635822                   62.482
     293.707065                60.003014               30.3635794                   62.501
     293.907065               60.0030159                30.363576                   62.537
     294.107065               60.0030179               30.3635734                   62.578
     294.306971               60.0030194               30.3635706                   62.597
     294.506971               60.0030212               30.3635677                   62.616
     294.706971               60.0030231               30.3635656                   62.648
     294.906971               60.0030249               30.3635632                   62.628
     295.106971               60.0030269               30.3635606                   62.624
     295.306971               60.0030288               30.3635594                   62.637
     295.506971               60.0030305               30.3635581                   62.625
     295.706971               60.0030324               30.3635573                    62.64
     295.906971               60.0030341               30.3635566                   62.654
     296.106971               60.0030359               30.3635563                   62.612
     296.306877               60.0030372               30.3635567                   62.588
     296.506877               60.0030386               30.3635581                   62.559
     296.706877               60.0030398               30.3635601                   62.526
     296.906877               60.0030412               30.3635627                   62.502
     297.106877               60.0030427               30.3635662                   62.462
     297.306877               60.0030441               30.3635694                   62.459
     297.506877               60.0030455               30.3635734                   62.463
     297.706877               60.0030467               30.3635781                   62.444
     297.906877               60.0030482               30.3635827                   62.444
     298.106877               60.0030499               30.3635875                   62.435
     298.306784               60.0030512               30.3635918                   62.428
     298.506784               60.0030527               30.3635963                   62.413
     298.706784                60.003054               30.3636008                   62.395
     298.906784               60.0030553               30.3636048                   62.389
     299.106784               60.0030565               30.3636098                    62.36
     299.306784               60.0030581               30.3636145                   62.327
     299.506784               60.0030595               30.3636187                   62.345
     299.706784               60.0030609               30.3636232                   62.317
     299.906784               60.0030623               30.3636278                    62.32
     300.106784               60.0030635               30.3636324                   62.296
     300.306690                60.003065               30.3636363                   62.276
     300.506690               60.0030664               30.3636406                   62.304
     300.706690               60.0030678               30.3636451                   62.267
     300.906690               60.0030694               30.3636494                   62.285
     301.106690               60.0030709               30.3636539                    62.28
     301.306690               60.0030726               30.3636582                    62.27
     301.506690               60.0030741               30.3636625                   62.281
     301.706690               60.0030754               30.3636665                   62.258
     301.906690               60.0030766               30.3636708                   62.286
     302.106690               60.0030781               30.3636748                   62.299
     302.306596               60.0030795               30.3636787                   62.289
     302.506596                60.003081               30.3636829                   62.315
     302.706596               60.0030822                30.363687                   62.313
     302.906596               60.0030836               30.3636914                   62.334
     303.106596               60.0030853               30.3636955                   62.319
     303.306596               60.0030868               30.3636998                   62.292
     303.506596               60.0030884               30.3637041                   62.304
     303.706596               60.0030896               30.3637086                   62.288
     303.906596                60.003091               30.3637131                   62.295
     304.106596               60.0030924               30.3637178                   62.286
     304.306502               60.0030938                30.363722                   62.256
     304.506502               60.0030953               30.3637265                   62.271
     304.706502               60.0030965               30.3637308                    62.26
     304.906502               60.0030975               30.3637352                   62.272
     305.106502               60.0030986               30.3637396                   62.303
     305.306502               60.0030997               30.3637439                   62.277
     305.506502               60.0031003               30.3637473                   62.288
     305.706502               60.0031005                30.363751                    62.28
     305.906502               60.0031002               30.3637545                   62.268
     306.106502               60.0030998               30.3637571                   62.299
     306.306409               60.0030991               30.3637594                    62.31
     306.506409               60.0030981               30.3637619                   62.316
     306.706409               60.0030968               30.3637633                   62.318
     306.906409               60.0030952               30.3637655                   62.287
     307.106409               60.0030931               30.3637679                   62.322
     307.306409               60.0030908               30.3637705                   62.335
     307.506409               60.0030888               30.3637736                   62.309
     307.706409               60.0030867               30.3637764                   62.337
     307.906409               60.0030845               30.3637794                    62.32
     308.106409                60.003082               30.3637824                   62.322
     308.306315               60.0030797               30.3637857                   62.318
     308.506315               60.0030774               30.3637889                   62.325
     308.706315               60.0030751               30.3637917                   62.361
     308.906315               60.0030728               30.3637946                   62.335
     309.106315               60.0030705               30.3637976                   62.332
     309.306315               60.0030683               30.3638008                   62.327
     309.506315               60.0030663                30.363804                   62.324
     309.706315               60.0030642               30.3638066                   62.346
     309.906315               60.0030618               30.3638094                   62.332
     310.106315               60.0030597               30.3638119                   62.348
