       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     200.623946                60.002851               30.3637864                   62.252
     200.823851                60.002851               30.3637866                   62.206
     201.023851               60.0028509               30.3637867                    62.19
     201.223851                60.002851               30.3637866                   62.198
     201.423851               60.0028509               30.3637866                   62.197
     201.623851               60.0028508               30.3637864                   62.206
     201.823851               60.0028508               30.3637866                   62.177
     202.023851               60.0028508               30.3637867                   62.145
     202.223851               60.0028509               30.3637869                   62.128
     202.423851               60.0028511               30.3637865                   62.202
     202.623851               60.0028514               30.3637866                   62.264
     202.823757               60.0028518                30.363786                   62.308
     203.023757               60.0028525                30.363785                   62.311
     203.223757               60.0028536               30.3637832                   62.336
     203.423757               60.0028551               30.3637811                   62.467
     203.623757               60.0028565               30.3637788                    62.52
     203.823757               60.0028582               30.3637769                   62.524
     204.023757                 60.00286               30.3637751                   62.493
     204.223757               60.0028616               30.3637727                   62.431
     204.423757               60.0028634               30.3637705                   62.352
     204.623757               60.0028654               30.3637683                   62.378
     204.823665               60.0028673               30.3637667                   62.186
     205.023665               60.0028695               30.3637642                   62.185
     205.223665               60.0028721               30.3637618                   62.191
     205.423665               60.0028745               30.3637594                   62.171
     205.623665               60.0028768               30.3637569                   62.162
     205.823665                60.002879               30.3637543                    62.15
     206.023665               60.0028813               30.3637523                   62.098
     206.223665               60.0028836               30.3637497                    62.07
     206.423665                60.002886               30.3637468                   62.025
     206.623665               60.0028883                30.363744                    62.04
     206.823568               60.0028906               30.3637416                   62.018
     207.023568               60.0028929               30.3637391                    62.02
     207.223568               60.0028949                30.363736                   62.082
     207.423568                60.002897               30.3637331                   62.107
     207.623568               60.0028991               30.3637302                   62.161
     207.823568               60.0029012               30.3637278                   62.151
     208.023568               60.0029034               30.3637252                   62.148
     208.223568               60.0029056               30.3637227                   62.138
     208.423568                60.002908               30.3637202                   62.109
     208.623568               60.0029102               30.3637177                   62.125
     208.823473               60.0029125               30.3637143                   62.179
     209.023473               60.0029148               30.3637114                   62.219
     209.223473               60.0029172               30.3637092                   62.223
     209.423473               60.0029193               30.3637059                   62.222
     209.623473               60.0029214               30.3637031                   62.237
     209.823473               60.0029236               30.3637002                   62.259
     210.023473               60.0029257               30.3636974                   62.288
     210.223473               60.0029275               30.3636942                   62.382
     210.423473               60.0029296               30.3636917                    62.36
     210.623473               60.0029318               30.3636893                   62.324
     210.823378                60.002934                30.363687                    62.29
     211.023378               60.0029364               30.3636844                   62.311
     211.223378               60.0029384               30.3636808                   62.442
     211.423378               60.0029407               30.3636781                   62.452
     211.623378               60.0029428               30.3636748                   62.461
     211.823378               60.0029448               30.3636722                   62.458
     212.023378               60.0029471               30.3636698                   62.442
     212.223378               60.0029499               30.3636681                    62.37
     212.423378               60.0029523               30.3636653                   62.337
     212.623378               60.0029544               30.3636623                   62.332
     212.823283               60.0029566               30.3636591                    62.36
     213.023283               60.0029586               30.3636568                   62.328
     213.223283               60.0029609               30.3636536                   62.373
     213.423283               60.0029632               30.3636508                   62.381
     213.623283               60.0029651               30.3636483                   62.299
     213.823283               60.0029672               30.3636452                    62.29
     214.023283               60.0029696               30.3636423                   62.266
     214.223283                60.002972               30.3636398                   62.265
     214.423283               60.0029743               30.3636368                   62.255
     214.623283               60.0029766               30.3636335                    62.27
     214.823189               60.0029787               30.3636308                   62.283
     215.023189               60.0029811               30.3636281                   62.292
     215.223189               60.0029835               30.3636254                   62.334
     215.423189               60.0029855               30.3636229                   62.334
     215.623189               60.0029875               30.3636202                   62.289
     215.823189               60.0029896               30.3636172                   62.307
     216.023189               60.0029918               30.3636145                   62.327
     216.223189               60.0029942               30.3636118                   62.372
     216.423189               60.0029962               30.3636098                   62.334
     216.623189               60.0029987                30.363607                   62.315
     216.823094               60.0030009               30.3636045                   62.312
     217.023094               60.0030031               30.3636019                   62.318
     217.223094               60.0030051               30.3635995                   62.308
     217.423094               60.0030071                30.363597                   62.294
     217.623094                60.003009               30.3635946                   62.251
     217.823094                60.003011               30.3635918                   62.272
     218.023094               60.0030127               30.3635893                   62.243
     218.223094               60.0030147               30.3635867                   62.221
     218.423094               60.0030167               30.3635837                   62.231
     218.623094               60.0030184               30.3635809                   62.233
     218.822999               60.0030203               30.3635782                   62.259
     219.022999               60.0030221               30.3635754                   62.297
     219.222999               60.0030238               30.3635732                   62.282
     219.422999                60.003026               30.3635704                   62.351
     219.622999               60.0030279               30.3635679                   62.384
     219.822999               60.0030296               30.3635654                   62.412
     220.022999               60.0030311               30.3635643                   62.406
     220.222999               60.0030333               30.3635626                   62.429
     220.422999               60.0030351               30.3635623                   62.379
     220.622999               60.0030369               30.3635621                   62.378
     220.822904               60.0030386               30.3635621                   62.353
     221.022904                 60.00304               30.3635626                   62.359
     221.222904               60.0030416               30.3635637                   62.338
     221.422904                60.003043               30.3635661                   62.302
     221.622904               60.0030443               30.3635688                   62.326
     221.822904               60.0030457               30.3635718                   62.294
     222.022904               60.0030472               30.3635756                   62.276
     222.222904               60.0030483               30.3635799                   62.262
     222.422904               60.0030496               30.3635843                   62.223
     222.622904               60.0030512               30.3635891                   62.227
     222.822810               60.0030528               30.3635941                   62.203
     223.022810               60.0030541               30.3635986                   62.173
     223.222810               60.0030556               30.3636031                    62.15
     223.422810               60.0030569               30.3636075                   62.131
     223.622810               60.0030583               30.3636118                   62.135
     223.822810               60.0030596               30.3636165                   62.117
     224.022810                60.003061               30.3636211                   62.086
     224.222810               60.0030625               30.3636252                   62.102
     224.422810                60.003064               30.3636294                   62.092
     224.622810               60.0030654               30.3636341                   62.097
     224.822715               60.0030668               30.3636387                   62.074
     225.022715               60.0030684               30.3636428                   62.035
     225.222715               60.0030697                30.363647                   62.056
     225.422715               60.0030708               30.3636517                   62.059
