       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     903.136541               60.0028537               30.3637864                   60.097
     903.336541               60.0028537               30.3637863                   60.106
     903.536454               60.0028537               30.3637863                   60.122
     903.736454               60.0028537               30.3637862                   60.121
     903.936454               60.0028538                30.363786                   60.139
     904.136454               60.0028537               30.3637864                   60.101
     904.336454               60.0028536               30.3637864                    60.11
     904.536454               60.0028536               30.3637867                   60.068
     904.736454               60.0028538               30.3637871                   60.011
     904.936454               60.0028538               30.3637871                    60.06
     905.136454               60.0028541                30.363787                   60.093
     905.336454               60.0028544               30.3637866                     60.1
     905.536376               60.0028551               30.3637863                   59.972
     905.736376               60.0028563               30.3637844                   60.067
     905.936376               60.0028572               30.3637822                   60.108
     906.136376               60.0028584               30.3637797                   60.187
     906.336376               60.0028609                30.363778                   60.158
     906.536376               60.0028631                30.363776                   60.125
     906.736376               60.0028649               30.3637735                   60.136
     906.936376               60.0028666               30.3637713                   60.096
     907.136376               60.0028686               30.3637691                   60.105
     907.336376                60.002871               30.3637674                   60.016
     907.536281               60.0028732               30.3637647                   60.027
     907.736281               60.0028753               30.3637626                   60.063
     907.936281               60.0028776               30.3637605                   59.925
     908.136281               60.0028806               30.3637583                   59.892
     908.336281               60.0028832               30.3637562                   59.806
     908.536281               60.0028858               30.3637537                   59.764
     908.736281               60.0028879               30.3637501                    59.84
     908.936281                 60.00289               30.3637478                   59.775
     909.136281               60.0028927               30.3637461                    59.74
     909.336281               60.0028947               30.3637442                   59.647
     909.536209                60.002897               30.3637415                   59.625
     909.736209               60.0028992               30.3637387                   59.684
     909.936209               60.0029014                30.363736                   59.633
     910.136209               60.0029036               30.3637335                   59.644
     910.336209               60.0029059               30.3637309                   59.639
     910.536209               60.0029083                30.363728                   59.683
     910.736209               60.0029105               30.3637259                    59.71
     910.936209               60.0029128               30.3637226                   59.686
     911.136209                60.002915               30.3637207                   59.638
     911.336209               60.0029175               30.3637182                   59.562
     911.536108               60.0029199               30.3637155                   59.583
     911.736108               60.0029222               30.3637133                   59.564
     911.936108               60.0029247               30.3637097                   59.565
     912.136108               60.0029268               30.3637073                    59.52
     912.336108               60.0029293               30.3637047                   59.517
     912.536108               60.0029316               30.3637022                    59.42
     912.736108               60.0029337               30.3636986                   59.635
     912.936108               60.0029358               30.3636962                    59.56
